Start Time,End Time,,Name,PaperId,Presenter,Options,Great Together,Ok Together,Not Ok Together,Don't know if should be together,Interested in,Options 11-20,More button1 clicked,More button2 clicked,Specials 1-3,Specials 4-6
2015-01-26T00:08:21Z,2015-01-26T00:14:29Z,,Yang Wang,pn895,,"pn1480,pn466,pn2478,pn371,pn169,pn2244,pn1266,pn298,pn763,pn287","pn763,pn2244","pn1266,pn1480,pn371,pn298,pn466",,"pn287,pn2478,pn169",pn763,"pn734,pn5113,pn2578,pn655,pn1077,pn2626,pn1606,pn1335,pn1268,pn1289",FALSE,FALSE,,
2015-01-26T00:12:34Z,2015-01-26T00:14:46Z,,Pamela Wisniewski,pn598,,"pn1742,pn2238,pn1335,pn2470,pn1144,pn1848,pn2340,pn1337,pn1049,pn1051","pn2238,pn1051,pn1144,pn1049,pn2340",pn1848,pn1335,"pn2470,pn1742,pn1337","pn1848,pn1051,pn1144,pn2238","pn1541,pn5119,crs111,pn2244,pn504,pn734,pn169,pn731,pn2606,pn732",FALSE,FALSE,,
2015-01-26T00:00:30Z,2015-01-26T00:15:30Z,,Yongqiang Lyu,pn1424,,"pn422,pn1058,pn2000,pn1280,pn1124,pn885,pn1045,pn1887,pn408,pn862","pn422,pn1280,pn2085","pn1990,pn1906",,,"pn1990,pn2085,pn1280","pn1990,pn2085,pn5133,pn1906,pn2191,pn917,pn5109,pn2603,pn780,pn462",TRUE,TRUE,,
2015-01-26T00:14:06Z,2015-01-26T00:15:36Z,,Melissa Niiya,pn1081,,"pn2238,pn2341,pn345,pn1256,pn1506,pn5110,pn242,pn2348,pn2224,pn2339","pn2238,pn2224,pn5110",pn1256,"pn242,pn345","pn1506,pn2339,pn2348,pn2341","pn2224,pn2238","pn1335,pn1682,pn2340,pn880,pn327,pn1386,pn1032,pn261,pn1907,pn851",FALSE,FALSE,,
2015-01-26T00:06:16Z,2015-01-26T00:15:46Z,,Paul Resnick,pn2185,,"pn1722,pn414,pn2289,pn1118,pn780,pn245,pn1144,pn248,pn1368,pn1940",,"pn1722,pn248","pn1118,pn2289","pn1940,pn245,pn1368,pn780,pn414,pn1144",,"pn1458,pn638,pn2339,pn933,pn650,pn2348,pn643,pn710,pn365,pn207",FALSE,TRUE,,
2015-01-26T00:13:55Z,2015-01-26T00:15:48Z,,Michael Bernstein,pn2022,,"pn234,pn308,pn1048,pn1573,pn155,pn528,pn302,pn1419,pn227,pn631","pn1717,pn5104,pn1606,pn1129,pn5133","pn464,pn234,pn1419","pn2491,pn227,pn1390,pn1596,pn528","pn302,pn308,pn631,pn1573,pn1048,pn2425,pn155",pn1419,"pn2425,pn5133,pn1596,pn1129,pn1606,pn1390,pn2491,pn464,pn1717,pn5104",TRUE,TRUE,,
2015-01-26T00:11:17Z,2015-01-26T00:17:12Z,,Susan R. Fussell,pn1972,,"pn973,pn1944,pn1350,pn2126,pn410,pn1682,pn1151,pn581,pn2247,pn1226","pn2288,pn1497,pn2536",,"pn236,pn1944,pn2212,case128,pn2651,pn973","pn1151,pn410,pn2606,pn1226,pn2147,pn1682,pn2247,pn2126,pn581,pn1350,pn2340","pn2536,pn2288,pn1497","pn2536,pn1497,pn2651,pn2212,pn2288,pn2147,pn236,case128,pn2606,pn2340",TRUE,TRUE,,
2015-01-26T00:16:42Z,2015-01-26T00:18:09Z,,,pn708,,"pn153,pn2483,pn681,pn2627,pn1617,pn682,pn105,pn282,pn1061,pn605","pn2627,pn681","pn1617,pn1061,pn282,pn105,pn2483,pn605,pn682,pn153",,,pn2627,"pn1606,pn464,pn1687,pn2328,pn448,pn611,pn820,pn302,pn1874,pn2134",FALSE,FALSE,,
2015-01-26T00:14:44Z,2015-01-26T00:18:45Z,,Richard J Anderson,pn685,,"pn2471,pn262,pn5108,pn2476,pn1095,pn400,pn1058,crs133,pn103,pn2481","pn400,pn103","pn2476,pn2471",,"pn262,pn5108,crs133,pn1095,pn2481,pn1058","pn400,pn103,pn930,pn2471,pn2476","pn2224,pn2085,pn1577,pn1907,pn2424,pn420,pn930,pn1336,pn569,pn2108",FALSE,TRUE,,
2015-01-26T00:15:46Z,2015-01-26T00:19:18Z,,Apu Kapadia,pn298,,"pn763,pn287,pn895,pn1480,pn1266,pn466,pn2478,pn2244,pn169,pn371","pn287,pn371,pn466",pn1480,"pn2478,pn763,pn2244","pn895,pn1266,pn169","pn2244,pn466,pn287,pn1480,pn1266,pn371,pn2478","pn5113,pn1501,pn261,pn2587,pn1840,pn1077,pn2588,pn551,pn731,pn1023",FALSE,FALSE,,
