Start Time,End Time,Name,PaperId,Presenter,Options,Great Together,Ok Together,Not Ok Together,Don't know if should be together,Interested in,Options 11-20,More button1 clicked,More button2 clicked,Specials 1-3,Specials 4-6
2013-02-04T12:55:53Z,2013-02-04T12:57:33Z,Seongkook Heo,pn2157,,"pn1873,pn520,pn2291,pn113,pn492,pn2344,pn103,pn414,pn2191,pn1813",,pn414,"pn520,pn492,pn2291","pn1873,pn2191,pn103,pn113,pn1813,pn2344","pn520,pn103,pn1873,pn2191","pn650,pn981,pn1479,pn464,pn1376,pn1961,pn1226,pn701,pn886,tochi121",FALSE,FALSE,"crs134,crs110,crs164","crs152,crs120,case136"
2013-02-04T16:47:03Z,2013-02-04T16:48:50Z,,pn2045,,"pn2169,pn1874,pn224,tochi128,pn1532,pn1477,pn564,pn2178,pn2198,pn927","pn1874,pn2169","pn224,pn1477,pn2178,pn2198,pn1532",,"tochi128,pn927,pn564","pn2198,pn2178,tochi128,pn224,pn1874,sig105,pn2169","pn1085,pn930,pn170,pn160,pn1188,pn1318,pn213,pn1965,pn1607,pn2247",FALSE,FALSE,"crs134,sig105,case170","case141,crs152,case114"
2013-02-04T16:30:20Z,2013-02-04T17:55:32Z,Katie Kuksenok,pn595,,"pn2096,pn1831,pn2137,pn2165,pn646,pn548,pn990,tochi118,pn1541,pn985","pn2165,pn1541","pn2137,pn985,tochi118,pn1831,pn646","pn990,pn548",pn2096,pn646,"pn401,pn2179,pn181,pn1118,pn923,pn122,pn1067,pn538,pn1676,pn1297",FALSE,FALSE,"sig102,crs160,crs112","crs114,pan103,pan118"
2013-02-04T18:07:45Z,2013-02-04T18:14:39Z,Derek L Hansen,pn2045,,"pn2169,pn1874,pn224,tochi128,pn1532,pn1477,pn564,pn2178,pn2198,pn927","pn927,pn224,pn1532","tochi128,pn1477,pn564,pn2178,pn2198",,"pn1874,pn2169","pn1477,pn2198,pn927,pn2178,pn1532,tochi128,sig105,pn2169","pn1085,pn930,pn170,pn160,pn1188,pn1318,pn213,pn1965,pn1607,pn2247",FALSE,FALSE,"crs134,sig105,case170","case141,crs152,case114"
2013-02-04T18:23:00Z,2013-02-04T18:24:41Z,Simon Voelker,pn153,,"pn179,pn1943,pn1883,pn687,pn220,pn1813,pn434,pn679,pn1153,tochi129",pn687,"pn220,pn679","tochi129,pn1153,pn1883","pn434,pn179","pn1943,tochi129,pn434","pn289,pn1241,pn1426,pn1626,pn1328,pn267,tochi102,pn1873",FALSE,FALSE,"case141,crs107,crs150","case131,crs152,crs130"
2013-02-04T19:07:26Z,2013-02-04T19:13:35Z,Rosta Farzan,pn1297,,"pn1499,pn1426,pn1154,pn253,pn1177,pn1698,pn2044,pn156,pn2198,pn815","pn1426,pn1499,pn2044,pn1177",pn815,"pn1154,pn1698","pn253,pn156,pn2198","pn1177,pn2198,pn1426,pn815,case154,pn1499,pn2044","pn368,pn850,tochi100,pn1141,pn966,pn1483,pn1108,pn538,tochi107,pn1913",FALSE,FALSE,"case154,crs110,sig108","sig113,crs130,crs160"
2013-02-04T19:21:10Z,2013-02-04T19:27:30Z,"Yuheng Hu, Shelly Farnham, Andres Monroy-Hernandez",pn1380,,"pn2051,pn1940,pn1907,pn1302,pn1498,pn1404,pn1350,pn368,pn966,pn1701","pn1404,pn966,pn1498,pn1350","pn2051,pn1701,pn1907","pn1302,pn1940,pn368",,"pn1350,pn1701,crs160,case154,pn1404","pn1281,pn927,pn2253,pn883,pn815,pn1363,pn1166,pn239,pn1108,pn1594",FALSE,FALSE,"crs160,case103,case154","pan120,case126,case158"
2013-02-05T00:20:22Z,2013-02-05T00:24:47Z,yuki ban,pn813,,"pn830,pn1118,pn426,pn226,pn1424,pn1330,pn289,pn120,pn404,pn385",pn1330,"pn1424,pn226","pn830,pn1118,pn426","pn385,pn404,pn289,pn120",pn289,"pn1350,pn1537,pn1307,pn115,pn1745,pn154,pn2358,pn414,pn1187,pn1374",FALSE,FALSE,"case170,case136,crs136","sig118,sig113,case114"
2013-02-05T03:59:23Z,2013-02-05T04:19:31Z,Stephanie Santosa,pn1226,,"pn292,pn1263,pn299,pn568,pn1374,pn627,pn2218,pn1118,pn164,pn1566","pn292,pn1169,pn627","pn858,pn2218,pn1271,pn299","pn1118,pn568,pn1263,pn1426,pn1374,pn1883","pn164,pn1183,pn1566,pn765,pn1594,pn2291,pn1042","pn299,pn1271,pn627,pn292,pn1594,pn2218,pn1183,pn1169,pn1566","pn1271,pn2291,pn1426,pn1169,pn1042,pn765,pn858,pn1594,pn1883,pn1183",TRUE,TRUE,"sig102,crs169,crs150","case136,crs160,crs120"
2013-02-05T05:45:59Z,2013-02-05T07:16:30Z,Hwan Kim,pn1813,,"pn679,pn1936,pn520,pn687,pn650,pn2191,pn197,tochi102,pn153,pn1177","pn520,pn1936",pn2191,"tochi102,pn679,pn650,pn197,pn1177","pn687,pn153","pn520,pn2191,pn1936","pn2157,pn2321,pn886,pn1360,pn988,pn2344,pn1241,pn2165,pn1376,pn492",FALSE,FALSE,"case141,crs150,sig117","crs110,case112,crs152"
